Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT3G13437,"3,63","2,12","3,32","3,02","1,60","1,50E-06","1,02","1,70","1,62","1,45","0,53",
AT5G13080,"3,81","2,24","3,76","3,27","1,71","2,31E-12","1,66","1,43","1,04","1,38","0,46",
AT5G24230,"3,93","2,78","3,92","3,54","1,82","0,00E+00","3,15","2,49","3,83","3,16","1,66","0,00E+00"
AT3G25930,"3,51","2,46","3,46","3,14","1,65","0,00E+00","1,31","1,64","0,63","1,19","0,25",
AT2G28270,"3,05","2,43","3,13","2,87","1,52","1,08E-07","3,65","2,24","3,12","3,01","1,59","1,05E-08"
AT3G11370,"3,59","2,70","3,34","3,21","1,68","1,37E-07","4,00","2,74","3,99","3,58","1,84","9,74E-07"
AT2G45450,"3,99","2,39","3,77","3,38","1,76","1,05E-14","0,57","1,54","1,50","1,20","0,27",
AT4G34131,"3,35","2,63","3,31","3,09","1,63","0,00E+00","3,39","2,83","3,07","3,10","1,63","0,00E+00"
AT5G48410,"3,97","2,62","3,65","3,41","1,77","6,69E-11","3,41","2,22","3,94","3,19","1,67","1,19E-08"
AT2G15490,"3,00","2,83","3,83","3,22","1,69","0,00E+00","3,35","2,98","3,47","3,27","1,71","0,00E+00"
AT5G65600,"3,40","2,24","3,31","2,98","1,58","1,60E-06","1,45","0,98","2,32","1,58","0,66",
AT2G17972,"3,59","2,44","3,78","3,27","1,71","1,55E-09","1,91","2,13","1,95","2,00","1,00",
AT2G18690,"3,41","2,55","3,17","3,04","1,60","7,77E-16","1,48","1,71","1,53","1,57","0,65",
AT2G32487,"3,50","2,52","3,50","3,18","1,67","3,95E-08","1,42","1,42","1,28","1,38","0,46",
AT3G52770,"3,82","2,10","3,64","3,19","1,67","6,77E-07","1,25","1,59","1,57","1,47","0,55",
AT5G62360,"3,69","2,88","3,03","3,20","1,68","1,01E-09","2,61","0,57","2,08","1,75","0,81",
AT1G17147,"3,69","2,12","3,95","3,25","1,70","9,99E-16","3,01","2,85","3,74","3,20","1,68","1,12E-09"
AT1G78865,"3,39","2,34","3,40","3,05","1,61","1,45E-06","0,82","1,93","1,89","1,55","0,63",
AT2G39380,"3,31","2,54","3,34","3,06","1,61","2,58E-11","1,46","1,46","1,11","1,34","0,43",
AT2G39681,"3,95","2,75","3,55","3,42","1,77","0,00E+00","1,39","2,26","1,39","1,68","0,74",
AT2G40330,"3,73","2,23","3,14","3,03","1,60","0,00E+00","4,46","3,79","4,08","4,11","2,04","0,00E+00"
AT1G19020,"3,14","2,60","3,19","2,98","1,57","0,00E+00","3,77","2,13","3,65","3,18","1,67","1,22E-15"
AT1G51800,"3,76","2,95","3,48","3,40","1,76","0,00E+00","3,50","2,28","3,93","3,24","1,70","4,77E-15"
AT2G15480,"3,46","2,53","3,57","3,18","1,67","0,00E+00","3,42","2,54","3,57","3,18","1,67","0,00E+00"
AT3G07215,"3,69","2,13","3,31","3,04","1,61","0,00E+00","1,14","1,24","1,30","1,22","0,29",
AT3G45330,"3,21","2,14","3,33","2,89","1,53","6,43E-07","3,84","2,22","3,02","3,03","1,60","7,36E-08"
AT5G20150,"3,89","2,46","3,15","3,17","1,66","1,16E-13","0,96","0,69","1,78","1,14","0,19",
AT1G04770,"3,98","2,67","3,86","3,50","1,81","0,00E+00","3,97","2,69","3,77","3,48","1,80","1,18E-10"
AT2G42060,"3,26","2,26","3,14","2,89","1,53","1,11E-16","3,38","2,30","3,96","3,21","1,68","0,00E+00"
AT3G50470,"3,53","2,42","3,77","3,24","1,70","9,36E-07","1,27","1,55","1,14","1,32","0,40",
AT5G35490,"3,30","2,06","3,90","3,09","1,63","5,21E-08","1,66","1,79","1,54","1,67","0,74",
AT5G48400,"3,43","2,75","3,16","3,12","1,64","1,90E-09","1,13","1,59","2,80","1,84","0,88",
AT1G06573,"3,44","2,44","3,42","3,10","1,63","4,55E-08","1,02","0,91","1,29","1,07","0,10",
AT1G10585,"3,62","2,77","3,61","3,33","1,74","1,38E-07","0,67","1,54","1,20","1,13","0,18",
AT1G72645,"3,84","2,34","3,69","3,29","1,72","0,00E+00","2,29","-0,07","1,37","1,20","0,26",
AT1G53903,"3,74","2,36","3,04","3,05","1,61","9,92E-09","1,94","1,39","1,21","1,51","0,60",
AT2G01818,"3,98","2,91","3,47","3,46","1,79","1,13E-08","1,34","1,64","0,81","1,26","0,34",
AT1G76600,"3,94","2,28","3,68","3,30","1,72","1,67E-15","3,98","2,08","3,18","3,08","1,62","0,00E+00"
AT3G28210,"3,62","2,70","3,02","3,11","1,64","1,73E-09","1,79","1,55","1,34","1,56","0,64",
AT1G76680,"3,18","2,85","3,85","3,29","1,72","0,00E+00","3,39","2,80","3,43","3,21","1,68","0,00E+00"
AT5G49520,"3,86","2,18","3,58","3,21","1,68","8,85E-12","2,33","2,08","1,52","1,98","0,98",
